id,description,name,uniprot,num_actives,name_fmt,path
26,5-hydroxytryptamine receptor 2B,5HT2B_HUMAN,P41595,777,5_hydroxytryptamine_receptor_2b,./gpcr/5_hydroxytryptamine_receptor_2b.sdf
27,5-hydroxytryptamine receptor 2C,5HT2C_HUMAN,P28335,1612,5_hydroxytryptamine_receptor_2c,./gpcr/5_hydroxytryptamine_receptor_2c.sdf
37,Adenosine receptor A1,AA1R_HUMAN,P30542,1550,adenosine_receptor_a1,./gpcr/adenosine_receptor_a1.sdf
38,Adenosine receptor A2b,AA2BR_HUMAN,P29275,1108,adenosine_receptor_a2b,./gpcr/adenosine_receptor_a2b.sdf
39,Adenosine receptor A3,AA3R_HUMAN,P0DMS8,2591,adenosine_receptor_a3,./gpcr/adenosine_receptor_a3.sdf
42,Muscarinic acetylcholine receptor M1,ACM1_HUMAN,P11229,878,muscarinic_acetylcholine_receptor_m1,./gpcr/muscarinic_acetylcholine_receptor_m1.sdf
63,Alpha-1D adrenergic receptor,ADA1D_HUMAN,P25100,931,alpha_1d_adrenergic_receptor,./gpcr/alpha_1d_adrenergic_receptor.sdf
67,Alpha-2A adrenergic receptor,ADA2A_HUMAN,P08913,504,alpha_2a_adrenergic_receptor,./gpcr/alpha_2a_adrenergic_receptor.sdf
79,Beta-2 adrenergic receptor,ADRB2_HUMAN,P07550,499,beta_2_adrenergic_receptor,./gpcr/beta_2_adrenergic_receptor.sdf
103,5-hydroxytryptamine receptor 1D,5HT1D_HUMAN,P28221,1090,5_hydroxytryptamine_receptor_1d,./gpcr/5_hydroxytryptamine_receptor_1d.sdf
104,5-hydroxytryptamine receptor 2A,5HT2A_HUMAN,P28223,2637,5_hydroxytryptamine_receptor_2a,./gpcr/5_hydroxytryptamine_receptor_2a.sdf
110,5-hydroxytryptamine receptor 5A,5HT5A_HUMAN,P47898,169,5_hydroxytryptamine_receptor_5a,./gpcr/5_hydroxytryptamine_receptor_5a.sdf
111,5-hydroxytryptamine receptor 7,5HT7R_HUMAN,P34969,1320,5_hydroxytryptamine_receptor_7,./gpcr/5_hydroxytryptamine_receptor_7.sdf
150,Muscarinic acetylcholine receptor M2,ACM2_HUMAN,P08172,946,muscarinic_acetylcholine_receptor_m2,./gpcr/muscarinic_acetylcholine_receptor_m2.sdf
151,Muscarinic acetylcholine receptor M4,ACM4_HUMAN,P08173,395,muscarinic_acetylcholine_receptor_m4,./gpcr/muscarinic_acetylcholine_receptor_m4.sdf
316,Alpha-2B adrenergic receptor,ADA2B_HUMAN,P18089,258,alpha_2b_adrenergic_receptor,./gpcr/alpha_2b_adrenergic_receptor.sdf
332,Beta-3 adrenergic receptor,ADRB3_HUMAN,P13945,301,beta_3_adrenergic_receptor,./gpcr/beta_3_adrenergic_receptor.sdf
385,Adenosine receptor A2a,AA2AR_HUMAN,P29274,2087,adenosine_receptor_a2a,./gpcr/adenosine_receptor_a2a.sdf
430,Muscarinic acetylcholine receptor M3,ACM3_HUMAN,P20309,1195,muscarinic_acetylcholine_receptor_m3,./gpcr/muscarinic_acetylcholine_receptor_m3.sdf
431,Muscarinic acetylcholine receptor M5,ACM5_HUMAN,P08912,273,muscarinic_acetylcholine_receptor_m5,./gpcr/muscarinic_acetylcholine_receptor_m5.sdf
443,5-hydroxytryptamine receptor 1A,5HT1A_HUMAN,P08908,2745,5_hydroxytryptamine_receptor_1a,./gpcr/5_hydroxytryptamine_receptor_1a.sdf
444,5-hydroxytryptamine receptor 1B,5HT1B_HUMAN,P28222,744,5_hydroxytryptamine_receptor_1b,./gpcr/5_hydroxytryptamine_receptor_1b.sdf
445,5-hydroxytryptamine receptor 1E,5HT1E_HUMAN,P28566,67,5_hydroxytryptamine_receptor_1e,./gpcr/5_hydroxytryptamine_receptor_1e.sdf
446,5-hydroxytryptamine receptor 1F,5HT1F_HUMAN,P30939,182,5_hydroxytryptamine_receptor_1f,./gpcr/5_hydroxytryptamine_receptor_1f.sdf
447,5-hydroxytryptamine receptor 4,5HT4R_HUMAN,Q13639,478,5_hydroxytryptamine_receptor_4,./gpcr/5_hydroxytryptamine_receptor_4.sdf
448,5-hydroxytryptamine receptor 6,5HT6R_HUMAN,P50406,2684,5_hydroxytryptamine_receptor_6,./gpcr/5_hydroxytryptamine_receptor_6.sdf
539,Alpha-1B adrenergic receptor,ADA1B_HUMAN,P35368,724,alpha_1b_adrenergic_receptor,./gpcr/alpha_1b_adrenergic_receptor.sdf
540,Alpha-2C adrenergic receptor,ADA2C_HUMAN,P18825,450,alpha_2c_adrenergic_receptor,./gpcr/alpha_2c_adrenergic_receptor.sdf
547,Beta-1 adrenergic receptor,ADRB1_HUMAN,P08588,325,beta_1_adrenergic_receptor,./gpcr/beta_1_adrenergic_receptor.sdf
634,Apelin receptor,APJ_HUMAN,P35414,65,apelin_receptor,./gpcr/apelin_receptor.sdf
862,Type-1 angiotensin II receptor,AGTR1_HUMAN,P30556,635,type_1_angiotensin_ii_receptor,./gpcr/type_1_angiotensin_ii_receptor.sdf
973,Alpha-1A adrenergic receptor,ADA1A_HUMAN,P35348,1352,alpha_1a_adrenergic_receptor,./gpcr/alpha_1a_adrenergic_receptor.sdf
996,Type-2 angiotensin II receptor,AGTR2_HUMAN,P50052,293,type_2_angiotensin_ii_receptor,./gpcr/type_2_angiotensin_ii_receptor.sdf
1340,B1 bradykinin receptor,BKRB1_HUMAN,P46663,475,b1_bradykinin_receptor,./gpcr/b1_bradykinin_receptor.sdf
1635,Bombesin receptor subtype-3,BRS3_HUMAN,P32247,171,bombesin_receptor_subtype_3,./gpcr/bombesin_receptor_subtype_3.sdf
1659,C3a anaphylatoxin chemotactic receptor,C3AR_HUMAN,Q16581,76,c3a_anaphylatoxin_chemotactic_receptor,./gpcr/c3a_anaphylatoxin_chemotactic_receptor.sdf
1738,B2 bradykinin receptor,BKRB2_HUMAN,P30411,380,b2_bradykinin_receptor,./gpcr/b2_bradykinin_receptor.sdf
1795,Extracellular calcium-sensing receptor,CASR_HUMAN,P41180,127,extracellular_calcium_sensing_receptor,./gpcr/extracellular_calcium_sensing_receptor.sdf
1936,C5a anaphylatoxin chemotactic receptor 1,C5AR1_HUMAN,P21730,175,c5a_anaphylatoxin_chemotactic_receptor_1,./gpcr/c5a_anaphylatoxin_chemotactic_receptor_1.sdf
1981,Calcitonin gene-related peptide type 1 receptor,CALRL_HUMAN,Q16602,481,calcitonin_gene_related_peptide_type_1_receptor,./gpcr/calcitonin_gene_related_peptide_type_1_receptor.sdf
2281,Cholecystokinin receptor type A,CCKAR_HUMAN,P32238,319,cholecystokinin_receptor_type_a,./gpcr/cholecystokinin_receptor_type_a.sdf
2292,C-C chemokine receptor type 1,CCR1_HUMAN,P32246,396,c_c_chemokine_receptor_type_1,./gpcr/c_c_chemokine_receptor_type_1.sdf
2343,C-C chemokine receptor type 3,CCR3_HUMAN,P51677,671,c_c_chemokine_receptor_type_3,./gpcr/c_c_chemokine_receptor_type_3.sdf
2535,Cysteinyl leukotriene receptor 2,CLTR2_HUMAN,Q9NS75,91,cysteinyl_leukotriene_receptor_2,./gpcr/cysteinyl_leukotriene_receptor_2.sdf
2854,C-C chemokine receptor type 2,CCR2_HUMAN,P41597,1043,c_c_chemokine_receptor_type_2,./gpcr/c_c_chemokine_receptor_type_2.sdf
2855,C-C chemokine receptor type 4,CCR4_HUMAN,P51679,74,c_c_chemokine_receptor_type_4,
2962,C-C chemokine receptor type 8,CCR8_HUMAN,P51685,50,c_c_chemokine_receptor_type_8,./gpcr/c_c_chemokine_receptor_type_8.sdf
2963,C-C chemokine receptor type 9,CCR9_HUMAN,P51686,123,c_c_chemokine_receptor_type_9,./gpcr/c_c_chemokine_receptor_type_9.sdf
2964,C-C chemokine receptor-like 2,CCRL2_HUMAN,O00421,100,c_c_chemokine_receptor_like_2,./gpcr/c_c_chemokine_receptor_like_2.sdf
3104,C-C chemokine receptor type 5,CCR5_HUMAN,P51681,1629,c_c_chemokine_receptor_type_5,./gpcr/c_c_chemokine_receptor_type_5.sdf
3278,Corticotropin-releasing factor receptor 1,CRFR1_HUMAN,P34998,1275,corticotropin_releasing_factor_receptor_1,./gpcr/corticotropin_releasing_factor_receptor_1.sdf
3354,Cysteinyl leukotriene receptor 1,CLTR1_HUMAN,Q9Y271,151,cysteinyl_leukotriene_receptor_1,./gpcr/cysteinyl_leukotriene_receptor_1.sdf
3552,Cannabinoid receptor 1,CNR1_HUMAN,P21554,2198,cannabinoid_receptor_1,./gpcr/cannabinoid_receptor_1.sdf
3718,Cannabinoid receptor 2,CNR2_HUMAN,P34972,2647,cannabinoid_receptor_2,./gpcr/cannabinoid_receptor_2.sdf
3874,C-X-C chemokine receptor type 1,CXCR1_HUMAN,P25024,100,c_x_c_chemokine_receptor_type_1,./gpcr/c_x_c_chemokine_receptor_type_1.sdf
4011,CX3C chemokine receptor 1,CX3C1_HUMAN,P49238,31,cx3c_chemokine_receptor_1,./gpcr/cx3c_chemokine_receptor_1.sdf
4024,C-X-C chemokine receptor type 2,CXCR2_HUMAN,P25025,448,c_x_c_chemokine_receptor_type_2,./gpcr/c_x_c_chemokine_receptor_type_2.sdf
4119,C-X-C chemokine receptor type 3,CXCR3_HUMAN,P49682,426,c_x_c_chemokine_receptor_type_3,./gpcr/c_x_c_chemokine_receptor_type_3.sdf
4120,C-X-C chemokine receptor type 4,CXCR4_HUMAN,P61073,140,c_x_c_chemokine_receptor_type_4,./gpcr/c_x_c_chemokine_receptor_type_4.sdf
4788,D(1B) dopamine receptor,DRD5_HUMAN,P21918,165,d(1b)_dopamine_receptor,./gpcr/d(1b)_dopamine_receptor.sdf
4815,D(1A) dopamine receptor,DRD1_HUMAN,P21728,595,d(1a)_dopamine_receptor,./gpcr/d(1a)_dopamine_receptor.sdf
4816,D(2) dopamine receptor,DRD2_HUMAN,P14416,3469,d(2)_dopamine_receptor,./gpcr/d(2)_dopamine_receptor.sdf
4817,D(3) dopamine receptor,DRD3_HUMAN,P35462,3155,d(3)_dopamine_receptor,./gpcr/d(3)_dopamine_receptor.sdf
4818,D(4) dopamine receptor,DRD4_HUMAN,P21917,1792,d(4)_dopamine_receptor,./gpcr/d(4)_dopamine_receptor.sdf
5005,Endothelin receptor type B,EDNRB_HUMAN,P24530,242,endothelin_receptor_type_b,
5092,Endothelin-1 receptor,EDNRA_HUMAN,P25101,814,endothelin_1_receptor,./gpcr/endothelin_1_receptor.sdf
5789,Free fatty acid receptor 4,FFAR4_HUMAN,Q5NUL3,21,free_fatty_acid_receptor_4,
6086,fMet-Leu-Phe receptor,FPR1_HUMAN,P21462,33,fmet_leu_phe_receptor,./gpcr/fmet_leu_phe_receptor.sdf
6166,Free fatty acid receptor 1,FFAR1_HUMAN,O14842,305,free_fatty_acid_receptor_1,./gpcr/free_fatty_acid_receptor_1.sdf
6227,Galanin receptor type 2,GALR2_HUMAN,O43603,39,galanin_receptor_type_2,./gpcr/galanin_receptor_type_2.sdf
6344,N-formyl peptide receptor 2,FPR2_HUMAN,P25090,41,n_formyl_peptide_receptor_2,./gpcr/n_formyl_peptide_receptor_2.sdf
6378,Gastrin/cholecystokinin type B receptor,GASR_HUMAN,P32239,749,gastrincholecystokinin_type_b_receptor,
6551,Galanin receptor type 1,GALR1_HUMAN,P47211,38,galanin_receptor_type_1,./gpcr/galanin_receptor_type_1.sdf
6586,Galanin receptor type 3,GALR3_HUMAN,O60755,21,galanin_receptor_type_3,./gpcr/galanin_receptor_type_3.sdf
6626,Glucagon receptor,GLR_HUMAN,P47871,646,glucagon_receptor,./gpcr/glucagon_receptor.sdf
6672,G-protein coupled receptor 183,GP183_HUMAN,P32249,20,g_protein_coupled_receptor_183,./gpcr/g_protein_coupled_receptor_183.sdf
6692,G-protein coupled receptor 4,GPR4_HUMAN,P46093,36,g_protein_coupled_receptor_4,./gpcr/g_protein_coupled_receptor_4.sdf
6695,Probable G-protein coupled receptor 88,GPR88_HUMAN,Q9GZN0,183,probable_g_protein_coupled_receptor_88,./gpcr/probable_g_protein_coupled_receptor_88.sdf
6711,Gonadotropin-releasing hormone receptor,GNRHR_HUMAN,P30968,1182,gonadotropin_releasing_hormone_receptor,./gpcr/gonadotropin_releasing_hormone_receptor.sdf
6721,Probable G-protein coupled receptor 174,GP174_HUMAN,Q9BXC1,22,probable_g_protein_coupled_receptor_174,./gpcr/probable_g_protein_coupled_receptor_174.sdf
