id,description,name,uniprot,num_actives,name_fmt,path
105,5-hydroxytryptamine receptor 3A,5HT3A_HUMAN,P46098,520,5_hydroxytryptamine_receptor_3a,
215,Neuronal acetylcholine receptor subunit alpha-3,ACHA3_HUMAN,P32297,36,neuronal_acetylcholine_receptor_subunit_alpha_3,./Ionchannel_Denise/decoys_neuronal_acetylcholine_receptor_subunit_alpha_3.sdf
422,Neuronal acetylcholine receptor subunit alpha-4,ACHA4_HUMAN,P43681,224,neuronal_acetylcholine_receptor_subunit_alpha_4,./Ionchannel_Denise/decoys_neuronal_acetylcholine_receptor_subunit_alpha_4.sdf
424,Neuronal acetylcholine receptor subunit alpha-7,ACHA7_HUMAN,P36544,600,neuronal_acetylcholine_receptor_subunit_alpha_7,
1241,Acid-sensing ion channel 1,ASIC1_HUMAN,P78348,25,acid_sensing_ion_channel_1,
1243,Acid-sensing ion channel 3,ASIC3_HUMAN,Q9UHC3,50,acid_sensing_ion_channel_3,
1677,Voltage-dependent L-type calcium channel subunit alpha-1C,CAC1C_HUMAN,Q13936,114,voltage_dependent_l_type_calcium_channel_subunit_alpha_1c,./Ionchannel_Denise/decoys_voltage_dependent_l_type_calcium_channel_subunit_alpha_1c.sdf
1678,Voltage-dependent T-type calcium channel subunit alpha-1H,CAC1H_HUMAN,O95180,139,voltage_dependent_t_type_calcium_channel_subunit_alpha_1h,./Ionchannel_Denise/decoys_voltage_dependent_t_type_calcium_channel_subunit_alpha_1h.sdf
1679,Voltage-dependent L-type calcium channel subunit alpha-1S,CAC1S_HUMAN,Q13698,55,voltage_dependent_l_type_calcium_channel_subunit_alpha_1s,./Ionchannel_Denise/decoys_voltage_dependent_l_type_calcium_channel_subunit_alpha_1s.sdf
1951,Voltage-dependent calcium channel subunit alpha-2/delta-1,CA2D1_HUMAN,P54289,150,voltage_dependent_calcium_channel_subunit_alpha_2delta_1,
2119,Voltage-dependent calcium channel subunit alpha-2/delta-2,CA2D2_HUMAN,Q9NY47,25,voltage_dependent_calcium_channel_subunit_alpha_2delta_2,
2122,Voltage-dependent N-type calcium channel subunit alpha-1B,CAC1B_HUMAN,Q00975,230,voltage_dependent_n_type_calcium_channel_subunit_alpha_1b,./Ionchannel_Denise/decoys_voltage_dependent_n_type_calcium_channel_subunit_alpha_1b.sdf
2123,Voltage-dependent L-type calcium channel subunit alpha-1D,CAC1D_HUMAN,Q01668,22,voltage_dependent_l_type_calcium_channel_subunit_alpha_1d,./Ionchannel_Denise/decoys_voltage_dependent_l_type_calcium_channel_subunit_alpha_1d.sdf
2126,Voltage-dependent T-type calcium channel subunit alpha-1G,CAC1G_HUMAN,O43497,297,voltage_dependent_t_type_calcium_channel_subunit_alpha_1g,./Ionchannel_Denise/decoys_voltage_dependent_t_type_calcium_channel_subunit_alpha_1g.sdf
2127,Voltage-dependent T-type calcium channel subunit alpha-1I,CAC1I_HUMAN,Q9P0X4,47,voltage_dependent_t_type_calcium_channel_subunit_alpha_1i,./Ionchannel_Denise/decoys_voltage_dependent_t_type_calcium_channel_subunit_alpha_1i.sdf
3299,Cystic fibrosis transmembrane conductance regulator,CFTR_HUMAN,P13569,206,cystic_fibrosis_transmembrane_conductance_regulator,
3852,Cation channel sperm-associated protein 1,CTSR1_HUMAN,Q8NEC5,18,cation_channel_sperm_associated_protein_1,
3853,Cation channel sperm-associated protein 4,CTSR4_HUMAN,Q7RTX7,18,cation_channel_sperm_associated_protein_4,
3961,Cytochrome b-245 heavy chain,CY24B_HUMAN,P04839,20,cytochrome_b_245_heavy_chain,
3996,Cation channel sperm-associated protein 2,CTSR2_HUMAN,Q96P56,18,cation_channel_sperm_associated_protein_2,
3997,Cation channel sperm-associated protein 3,CTSR3_HUMAN,Q86XQ3,18,cation_channel_sperm_associated_protein_3,
6477,Gamma-aminobutyric acid receptor subunit alpha-5,GBRA5_HUMAN,P31644,475,gamma_aminobutyric_acid_receptor_subunit_alpha_5,
6479,Gamma-aminobutyric acid receptor subunit beta-3,GBRB3_HUMAN,P28472,23,gamma_aminobutyric_acid_receptor_subunit_beta_3,./Ionchannel_Denise/decoys_gamma_aminobutyric_acid_receptor_subunit_beta_3.sdf
6595,Gamma-aminobutyric acid receptor subunit rho-1,GBRR1_HUMAN,P24046,24,gamma_aminobutyric_acid_receptor_subunit_rho_1,./Ionchannel_Denise/decoys_gamma_aminobutyric_acid_receptor_subunit_rho_1.sdf
6622,Glycine receptor subunit alpha-2,GLRA2_HUMAN,P23416,47,glycine_receptor_subunit_alpha_2,
6623,Glycine receptor subunit alpha-3,GLRA3_HUMAN,O75311,21,glycine_receptor_subunit_alpha_3,
6744,Glutamate receptor 1,GRIA1_HUMAN,P42261,119,glutamate_receptor_1,./Ionchannel_Denise/decoys_glutamate_receptor_1.sdf
