id,description,name,uniprot,num_actives,name_fmt,path
56,Activin receptor type-1,ACVR1_HUMAN,Q04771,25,activin_receptor_type_1,
77,Adenosine kinase,ADK_HUMAN,P55263,177,adenosine_kinase,
136,Abelson tyrosine-protein kinase 2,ABL2_HUMAN,P42684,29,abelson_tyrosine_protein_kinase_2,
220,Activated CDC42 kinase 1,ACK1_HUMAN,Q07912,99,activated_cdc42_kinase_1,
253,ALK tyrosine kinase receptor,ALK_HUMAN,Q9UM73,763,alk_tyrosine_kinase_receptor,
313,Serine/threonine-protein kinase receptor R3,ACVL1_HUMAN,P37023,66,serinethreonine_protein_kinase_receptor_r3,
469,Tyrosine-protein kinase ABL1,ABL1_HUMAN,P00519,994,tyrosine_protein_kinase_abl1,./KInase_Denise/decoys_Tyrosine_protein_kinase_ABL1.sdf
570,RAC-alpha serine/threonine-protein kinase,AKT1_HUMAN,P31749,907,rac_alpha_serinethreonine_protein_kinase,
1100,Beta-adrenergic receptor kinase 1,ARBK1_HUMAN,P25098,84,beta_adrenergic_receptor_kinase_1,
1177,RAC-beta serine/threonine-protein kinase,AKT2_HUMAN,P31751,330,rac_beta_serinethreonine_protein_kinase,
1178,RAC-gamma serine/threonine-protein kinase,AKT3_HUMAN,Q9Y243,106,rac_gamma_serinethreonine_protein_kinase,
1278,Serine-protein kinase ATM,ATM_HUMAN,Q13315,19,serine_protein_kinase_atm,
1283,Serine/threonine-protein kinase ATR,ATR_HUMAN,Q13535,74,serinethreonine_protein_kinase_atr,
1297,Aurora kinase C,AURKC_HUMAN,Q9UQB9,61,aurora_kinase_c,
1341,Tyrosine-protein kinase Blk,BLK_HUMAN,P51451,39,tyrosine_protein_kinase_blk,./KInase_Denise/decoys_Tyrosine_protein_kinase_Blk.sdf
1556,Aurora kinase B,AURKB_HUMAN,Q96GD4,718,aurora_kinase_b,
1574,Aurora kinase A,AURKA_HUMAN,O14965,1026,aurora_kinase_a,
1625,Serine/threonine-protein kinase B-raf,BRAF_HUMAN,P15056,1157,serinethreonine_protein_kinase_b_raf,
1908,Cytoplasmic tyrosine-protein kinase BMX,BMX_HUMAN,P51813,26,cytoplasmic_tyrosine_protein_kinase_bmx,
1917,Tyrosine-protein kinase BTK,BTK_HUMAN,Q06187,476,tyrosine_protein_kinase_btk,./KInase_Denise/decoys_Tyrosine_protein_kinase_BTK.sdf
2210,Mitotic checkpoint serine/threonine-protein kinase BUB1,BUB1_HUMAN,O43683,15,mitotic_checkpoint_serinethreonine_protein_kinase_bub1,
2360,Cell division cycle 7-related protein kinase,CDC7_HUMAN,O00311,181,cell_division_cycle_7_related_protein_kinase,
2442,Cyclin-dependent kinase 9,CDK9_HUMAN,P50750,188,cyclin_dependent_kinase_9,
2528,Dual specificity protein kinase CLK2,CLK2_HUMAN,P49760,22,dual_specificity_protein_kinase_clk2,
2529,Dual specificity protein kinase CLK4,CLK4_HUMAN,Q9HAZ1,35,dual_specificity_protein_kinase_clk4,
2582,Serine/threonine-protein kinase Chk1,CHK1_HUMAN,O14757,955,serinethreonine_protein_kinase_chk1,
2702,Serine/threonine-protein kinase Chk2,CHK2_HUMAN,O96017,74,serinethreonine_protein_kinase_chk2,
2781,Cyclin-dependent kinase 2,CDK2_HUMAN,P24941,579,cyclin_dependent_kinase_2,
2782,Cyclin-dependent kinase 7,CDK7_HUMAN,P50613,35,cyclin_dependent_kinase_7,
2783,Cyclin-dependent kinase 8,CDK8_HUMAN,P49336,104,cyclin_dependent_kinase_8,
3004,Cyclin-dependent kinase 19,CDK19_HUMAN,Q9BWU1,17,cyclin_dependent_kinase_19,
3005,Cyclin-dependent kinase 1,CDK1_HUMAN,P06493,265,cyclin_dependent_kinase_1,
3006,Cyclin-dependent-like kinase 5,CDK5_HUMAN,Q00535,53,cyclin_dependent_like_kinase_5,
3144,Cyclin-dependent kinase 4,CDK4_HUMAN,P11802,542,cyclin_dependent_kinase_4,
3145,Cyclin-dependent kinase 6,CDK6_HUMAN,Q00534,208,cyclin_dependent_kinase_6,
3522,Casein kinase II subunit alpha',CSK22_HUMAN,P19784,102,casein_kinase_ii_subunit_alpha,
3775,Dual specificity protein kinase CLK1,CLK1_HUMAN,P49759,66,dual_specificity_protein_kinase_clk1,
3915,Casein kinase II subunit alpha,CSK21_HUMAN,P68400,200,casein_kinase_ii_subunit_alpha,
4068,Macrophage colony-stimulating factor 1 receptor,CSF1R_HUMAN,P07333,500,macrophage_colony_stimulating_factor_1_receptor,
4368,Discoidin domain-containing receptor 2,DDR2_HUMAN,Q16832,66,discoidin_domain_containing_receptor_2,
4373,Death-associated protein kinase 3,DAPK3_HUMAN,O43293,17,death_associated_protein_kinase_3,
4383,Deoxycytidine kinase,DCK_HUMAN,P27707,99,deoxycytidine_kinase,
4573,Epithelial discoidin domain-containing receptor 1,DDR1_HUMAN,Q08345,77,epithelial_discoidin_domain_containing_receptor_1,
4841,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYR1A_HUMAN,Q13627,77,dual_specificity_tyrosine_phosphorylation_regulated_kinase_1a,
4889,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYR1B_HUMAN,Q9Y463,70,dual_specificity_tyrosine_phosphorylation_regulated_kinase_1b,
4969,Epidermal growth factor receptor,EGFR_HUMAN,P00533,2112,epidermal_growth_factor_receptor,
5133,Ephrin type-B receptor 2,EPHB2_HUMAN,P29323,16,ephrin_type_b_receptor_2,
5174,Eukaryotic translation initiation factor 2-alpha kinase 3,E2AK3_HUMAN,Q9NZJ5,77,eukaryotic_translation_initiation_factor_2_alpha_kinase_3,
5230,Serine/threonine-protein kinase/endoribonuclease IRE1,ERN1_HUMAN,O75460,29,serinethreonine_protein_kinaseendoribonuclease_ire1,
5454,Focal adhesion kinase 1,FAK1_HUMAN,Q05397,400,focal_adhesion_kinase_1,
5479,Receptor tyrosine-protein kinase erbB-2,ERBB2_HUMAN,P04626,449,receptor_tyrosine_protein_kinase_erbb_2,
5480,Receptor tyrosine-protein kinase erbB-4,ERBB4_HUMAN,Q15303,58,receptor_tyrosine_protein_kinase_erbb_4,./KInase_Denise/decoys_Receptor_tyrosine_protein_kinase_erbB_4.sdf
5647,Ephrin type-A receptor 2,EPHA2_HUMAN,P29317,22,ephrin_type_a_receptor_2,
5648,Ephrin type-A receptor 3,EPHA3_HUMAN,P29320,20,ephrin_type_a_receptor_3,
5652,Ephrin type-B receptor 4,EPHB4_HUMAN,P54760,108,ephrin_type_b_receptor_4,
5793,Fibroblast growth factor receptor 2,FGFR2_HUMAN,P21802,201,fibroblast_growth_factor_receptor_2,
5794,Fibroblast growth factor receptor 3,FGFR3_HUMAN,P22607,372,fibroblast_growth_factor_receptor_3,
5795,Fibroblast growth factor receptor 4,FGFR4_HUMAN,P22455,29,fibroblast_growth_factor_receptor_4,
5803,Protein-tyrosine kinase 2-beta,FAK2_HUMAN,Q14289,34,protein_tyrosine_kinase_2_beta,./KInase_Denise/decoys_Protein_tyrosine_kinase_2_beta.sdf
5845,Fibroblast growth factor receptor 1,FGFR1_HUMAN,P11362,414,fibroblast_growth_factor_receptor_1,
6043,Tyrosine-protein kinase Fer,FER_HUMAN,P16591,15,tyrosine_protein_kinase_fer,./KInase_Denise/decoys_Tyrosine_protein_kinase_Fer.sdf
6205,Tyrosine-protein kinase Fyn,FYN_HUMAN,P06241,47,tyrosine_protein_kinase_fyn,./KInase_Denise/decoys_Tyrosine_protein_kinase_Fyn.sdf
6223,Cyclin-G-associated kinase,GAK_HUMAN,O14976,33,cyclin_g_associated_kinase,
6240,Receptor-type tyrosine-protein kinase FLT3,FLT3_HUMAN,P36888,874,receptor_type_tyrosine_protein_kinase_flt3,./KInase_Denise/decoys_Receptor_type_tyrosine_protein_kinase_FLT3.sdf
6348,Tyrosine-protein kinase FRK,FRK_HUMAN,P42685,15,tyrosine_protein_kinase_frk,./KInase_Denise/decoys_Tyrosine_protein_kinase_FRK.sdf
6391,Tyrosine-protein kinase Fgr,FGR_HUMAN,P09769,22,tyrosine_protein_kinase_fgr,./KInase_Denise/decoys_Tyrosine_protein_kinase_Fgr.sdf
7019,Glycogen synthase kinase-3 alpha,GSK3A_HUMAN,P49840,120,glycogen_synthase_kinase_3_alpha,
7020,Glycogen synthase kinase-3 beta,GSK3B_HUMAN,P49841,627,glycogen_synthase_kinase_3_beta,
7302,Tyrosine-protein kinase HCK,HCK_HUMAN,P08631,104,tyrosine_protein_kinase_hck,./KInase_Denise/decoys_Tyrosine_protein_kinase_HCK.sdf
7911,Insulin-like growth factor 1 receptor,IGF1R_HUMAN,P08069,812,insulin_like_growth_factor_1_receptor,
7971,Integrin-linked protein kinase,ILK_HUMAN,Q13418,20,integrin_linked_protein_kinase,
8042,Inhibitor of nuclear factor kappa-B kinase subunit alpha,IKKA_HUMAN,O15111,26,inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_alpha,
8043,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKKB_HUMAN,O14920,300,inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_beta,
8077,Insulin receptor,INSR_HUMAN,P06213,87,insulin_receptor,
8095,Tyrosine-protein kinase ITK/TSK,ITK_HUMAN,Q08881,279,tyrosine_protein_kinase_itktsk,
8152,Casein kinase I isoform delta,KC1D_HUMAN,P48730,29,casein_kinase_i_isoform_delta,
8154,Calcium/calmodulin-dependent protein kinase type II subunit delta,KCC2D_HUMAN,Q13557,21,calciumcalmodulin_dependent_protein_kinase_type_ii_subunit_delta,
8197,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,IKKE_HUMAN,Q14164,58,inhibitor_of_nuclear_factor_kappa_b_kinase_subunit_epsilon,
8242,Tyrosine-protein kinase JAK2,JAK2_HUMAN,O60674,1546,tyrosine_protein_kinase_jak2,./KInase_Denise/decoys_Tyrosine_protein_kinase_JAK2.sdf
8243,Tyrosine-protein kinase JAK3,JAK3_HUMAN,P52333,857,tyrosine_protein_kinase_jak3,./KInase_Denise/decoys_Tyrosine_protein_kinase_JAK3.sdf
8267,Tyrosine-protein kinase JAK1,JAK1_HUMAN,P23458,1246,tyrosine_protein_kinase_jak1,./KInase_Denise/decoys_Tyrosine_protein_kinase_JAK1.sdf
